[INFO] Tests run: 21, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.793 s - in com.nexttrucking.platform.trips.dao.LoadRepositoryIT
[INFO] Tests run: 32, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 32.373 s - in com.nexttrucking.platform.trips.dao.OrderRepositoryIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****2 s - in com.nexttrucking.platform.trips.dao.PlaceholderAssociationRepositoryIT
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 8.799 s - in com.nexttrucking.platform.trips.flatorders.FlatOrderBackgroundRefreshServiceIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.743 s - in com.nexttrucking.platform.trips.flatorders.FlatOrdersIT
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 48.246 s - in com.nexttrucking.platform.trips.jobbing.receiver.AutoJobbingReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.872 s - in com.nexttrucking.platform.trips.jobbing.resource.SuggestionResourceIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.282 s - in com.nexttrucking.platform.trips.listener.AccountingKafkaListenerIT
[INFO] Tests run: 24, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 19.311 s - in com.nexttrucking.platform.trips.listener.AppointmentKafkaListenerIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 18.234 s - in com.nexttrucking.platform.trips.listener.AtlasEdiKafkaListenerIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.41 s - in com.nexttrucking.platform.trips.listener.DocumentObligationKafkaListenerIT
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.739 s - in com.nexttrucking.platform.trips.receiver.AmendFreeflowLoadPayoutReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.301 s - in com.nexttrucking.platform.trips.receiver.ApproveContainerJourneyStatusReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.58 s - in com.nexttrucking.platform.trips.receiver.ChangeInstructionTimestampReceiverIT
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 19.071 s - in com.nexttrucking.platform.trips.receiver.ChangeLoadStatusTagReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 16.197 s - in com.nexttrucking.platform.trips.receiver.ChangeLoadTypeReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.113 s - in com.nexttrucking.platform.trips.receiver.ChangeYardLastFreeDayReceiverIT
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.346 s - in com.nexttrucking.platform.trips.receiver.ChassisSwapCardReceiverIT
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 24.398 s - in com.nexttrucking.platform.trips.receiver.ContainerDataScrapedReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.014 s - in com.nexttrucking.platform.trips.receiver.ContainerReadinessReceiversIT
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 31.164 s - in com.nexttrucking.platform.trips.receiver.CreateJobReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.284 s - in com.nexttrucking.platform.trips.receiver.JourneyStatusChangedReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.255 s - in com.nexttrucking.platform.trips.receiver.LoadCompletedReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.745 s - in com.nexttrucking.platform.trips.receiver.MarkFreeflowReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.877 s - in com.nexttrucking.platform.trips.receiver.MarkStreetTurnedCompleteReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.367 s - in com.nexttrucking.platform.trips.receiver.ReassignCarrierReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.153 s - in com.nexttrucking.platform.trips.receiver.RejectContainerJourneyStatusReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 8.146 s - in com.nexttrucking.platform.trips.receiver.RemoveCarrierJournalEntryReceiverIT
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.286 s - in com.nexttrucking.platform.trips.receiver.RemoveYardStopReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 16.841 s - in com.nexttrucking.platform.trips.receiver.ReportContainerAvailabilityReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.372 s - in com.nexttrucking.platform.trips.receiver.ReportContainerReadinessReceiverIT
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.463 s - in com.nexttrucking.platform.trips.receiver.ReportContainerUnavailabilityReceiverIT
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 43.259 s - in com.nexttrucking.platform.trips.receiver.ReportHoldsChangeReceiverIT
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.588 s - in com.nexttrucking.platform.trips.receiver.RerouteAffectedReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.525 s - in com.nexttrucking.platform.trips.receiver.RevertLoadStatusTagReceiverIT
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 84.256 s - in com.nexttrucking.platform.trips.receiver.SwapPlaceholderLoadReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.743 s - in com.nexttrucking.platform.trips.receiver.UpdateJourneyReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 8.115 s - in com.nexttrucking.platform.trips.resource.ContainerJourneyStatusResourceIT
[INFO] Tests run: 27, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 61.708 s - in com.nexttrucking.platform.trips.resource.v1.BusinessEventResourceIT
[INFO] Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.7 s - in com.nexttrucking.platform.trips.resource.v1.ContainerOrderResourceIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.393 s - in com.nexttrucking.platform.trips.resource.v1.DryRunTonuLoadResourceIT
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.719 s - in com.nexttrucking.platform.trips.resource.v1.FreeflowResourceIT
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 123.747 s - in com.nexttrucking.platform.trips.resource.v1.JobResourceIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.59 s - in com.nexttrucking.platform.trips.resource.v1.LoadsForDispatchingResourceIT
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 43.737 s - in com.nexttrucking.platform.trips.resource.v1.MigrationResourceIT
[INFO] Tests run: 25, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 31.458 s - in com.nexttrucking.platform.trips.resource.v1.OrderResourceIT
[WARNING] Tests run: 9, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 39.207 s - in com.nexttrucking.platform.trips.resource.v1.PlaceholderLoadResourceIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.403 s - in com.nexttrucking.platform.trips.resource.v1.culines.CuLinesOrderResourceIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 17.102 s - in com.nexttrucking.platform.trips.resource.v1.search.SearchJobResourceIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.398 s - in com.nexttrucking.platform.trips.resource.v1.search.SearchLoadResourceIT
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 6.366 s - in com.nexttrucking.platform.trips.resource.v1.search.SearchOrderResourceIT
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.22 s - in com.nexttrucking.platform.trips.resource.v2.ContainerOrderResourceV2IT
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 81.998 s - in com.nexttrucking.platform.trips.resource.v2.JobResourceV2IT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.379 s - in com.nexttrucking.platform.trips.search.FindShipmentForJobbingExtIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.244 s - in com.nexttrucking.platform.trips.search.ShipmentListIntegrationsExtIT
[INFO] Tests run: 29, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 8.598 s - in com.nexttrucking.platform.trips.search.ShipmentListSearchExtIT
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 13.305 s - in com.nexttrucking.platform.trips.service.impl.AddShipmentsToFreeflowEventReceiverIT
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 12.311 s - in com.nexttrucking.platform.trips.service.impl.AmendContainerReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.483 s - in com.nexttrucking.platform.trips.service.impl.AssignDriverReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.314 s - in com.nexttrucking.platform.trips.service.impl.ChangeArrivalListenerIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.335 s - in com.nexttrucking.platform.trips.service.impl.ChangeDepartureListenerIT
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 18.571 s - in com.nexttrucking.platform.trips.service.impl.InstructionEventSubscriberServiceImplIT
[INFO] Tests run: 24, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 68.583 s - in com.nexttrucking.platform.trips.service.impl.JobEventSubscriberServiceImplIT
[INFO] Tests run: 39, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 72.208 s - in com.nexttrucking.platform.trips.service.impl.LoadEventSubscriberServiceIT
[INFO] Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.295 s - in com.nexttrucking.platform.trips.service.impl.OrderEventSubscriberServiceImplIT
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 41.85 s - in com.nexttrucking.platform.trips.service.impl.PlaceholderEventSubscriberServiceImplIT
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 28.233 s - in com.nexttrucking.platform.trips.service.impl.TNumberEventSubscriberServiceImplIT
[WARNING] Tests run: 1, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 0 s - in com.nexttrucking.platform.trips.service.impl.TrackingEventSubscriberServiceIT
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****7 s - in com.nexttrucking.platform.trips.statemachine.InstructionStateMachineIT
